feature,usage,usage_pct,is_dead,attack_ratio,corr_brightness,corr_boominess,corr_warmth,corr_hardness,corr_depth,corr_roughness,corr_sharpness,corr_loudness,corr_reverb
614,1.0,0.00030475913,False,0.0,-0.034816064,0.033446193,0.037150927,-0.043176197,0.03289121,-0.03727327,-0.038412053,0.019781673,0.10772958
615,4.0,0.0012190365,False,4951.967,-0.03234461,0.03239626,0.033928804,-0.040106796,0.031539068,-0.036068313,-0.03642626,0.016271591,0.10847678
616,5.0,0.0015237957,False,303.16522,-0.034856196,0.031811416,0.03648646,-0.04417226,0.030780526,-0.03779468,-0.038745053,0.021717396,0.107432485
617,311983.0,95.079666,False,0.49199083,0.04410222,-0.15092374,-0.06826038,0.07362526,-0.13563341,0.028364714,0.05972787,-0.15239656,-0.06799592
618,1.0,0.00030475913,False,0.0,-0.035438295,0.03452813,0.0383046,-0.044640113,0.034440055,-0.037235837,-0.03902394,0.019505754,0.10735819
619,0.0,0.0,False,0.0,0.012391701,-0.040252917,-0.00987658,-0.0058036614,-0.020102343,0.024919856,0.022051884,0.07166771,0.99990124
620,1.0,0.00030475913,False,1233.0945,-0.032954477,0.030709377,0.03509078,-0.040226292,0.031188078,-0.03609111,-0.036109466,0.018106377,0.10775716
621,1.0,0.00030475913,False,905.94666,-0.033835728,0.032621447,0.036434192,-0.04123251,0.03233922,-0.035863988,-0.037207704,0.020681169,0.10759936
622,4.0,0.0012190365,False,0.0,-0.03249995,0.032012742,0.034913927,-0.041840136,0.031816103,-0.0348824,-0.03541185,0.01905351,0.108233154
623,319663.0,97.42021,False,0.5569431,-0.08582048,-0.008208789,0.07130052,-0.05647846,0.012289055,-0.0847827,-0.060127337,-0.060858026,-0.04800553
624,2.0,0.00060951826,False,0.0,-0.032858025,0.031062309,0.035220835,-0.03897157,0.031365342,-0.036041394,-0.035851113,0.019593894,0.10748179
625,14.0,0.0042666276,False,19755.508,-0.03524066,0.033601895,0.037575006,-0.042429697,0.033157963,-0.037245005,-0.03815478,0.019796727,0.11029134
626,10.0,0.0030475913,False,72.40607,-0.032727133,0.030460646,0.033801816,-0.04043865,0.030079767,-0.035130903,-0.03623324,0.018169366,0.10883972
627,132.0,0.040228207,False,2156.4812,-0.031252075,0.0147776725,0.02590768,-0.029865945,0.013181283,-0.03977304,-0.036112804,0.007331104,0.0960782
628,283651.0,86.44523,False,0.2931217,-0.0246588,-0.06825935,0.029639857,-0.0039506345,-0.033189826,0.014330464,5.591466e-05,-0.030749882,-0.053507403
629,17.0,0.005180905,False,1174.3071,-0.03026394,0.029495707,0.031472966,-0.03699502,0.028785374,-0.03323266,-0.0340533,0.017319595,0.11015703
